Feature,Importance,Timestep,Feature_Index,Real_Feature,Feature_Family,Temporal_or_Base
timestep_6_feature_88,0.0007653503,6,88,Avg_Packet_Length_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_10_feature_32,0.0007630533,10,32,Avg_Flow_Duration_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_8_feature_39,0.0007582274,8,39,Avg_Fwd_Packets_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_6_feature_87,0.00075737684,6,87,Avg_Packet_Length_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_6_feature_106,0.00075506064,6,106,Avg_Fwd_Packets_Per_Second_Slope5,Slope,Temporal / Behaviour
timestep_5_feature_124,0.0007543372,5,124,RST_Count_Diff5,Difference,Temporal / Behaviour
timestep_8_feature_72,0.0007505502,8,72,Avg_Bytes_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_3_feature_145,0.0007482011,3,145,ACK_Count_ZScore5,Z-Score,Temporal / Behaviour
timestep_2_feature_111,0.00073822046,2,111,Avg_Bwd_Packets_Per_Second_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_2_feature_64,0.00073519093,2,64,Avg_Bwd_Bytes_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_1_feature_152,0.00072706764,1,152,Unique_Destination_Ports_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_6_feature_72,0.00072568335,6,72,Avg_Bytes_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_10_feature_34,0.0007215805,10,34,Avg_Flow_Duration_Slope5,Slope,Temporal / Behaviour
timestep_8_feature_108,0.0007189726,8,108,Avg_Bwd_Packets_Per_Second_Diff5,Difference,Temporal / Behaviour
timestep_10_feature_35,0.00071099127,10,35,Avg_Fwd_Packets_Diff1,Difference,Temporal / Behaviour
timestep_7_feature_128,0.0007058331,7,128,RST_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_2_feature_56,0.0006994031,2,56,Avg_Fwd_Bytes_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_5_feature_136,0.0006986469,5,136,PSH_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_1_feature_123,0.0006950574,1,123,RST_Count_Diff1,Difference,Temporal / Behaviour
timestep_3_feature_71,0.0006905952,3,71,Avg_Bytes_Per_Second_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_10_feature_73,0.0006896871,10,73,Avg_Bytes_Per_Second_ZScore5,Z-Score,Temporal / Behaviour
timestep_1_feature_159,0.0006830865,1,159,Bwd_Fwd_Packet_Ratio,Behaviour Ratio,Temporal / Behaviour
