Feature,Importance
timestep_9_feature_1,0.0013582743
timestep_8_feature_119,0.0013553847
timestep_8_feature_40,0.0013487537
timestep_9_feature_32,0.0013478415
timestep_8_feature_95,0.0013463238
timestep_7_feature_95,0.0013449617
timestep_10_feature_136,0.0013366088
timestep_1_feature_47,0.0013334044
timestep_1_feature_95,0.0013328012
timestep_5_feature_112,0.0013256854
timestep_10_feature_120,0.0013226693
timestep_4_feature_90,0.0013226256
timestep_10_feature_121,0.0013194241
timestep_9_feature_124,0.0013145852
timestep_10_feature_151,0.0013144497
timestep_4_feature_65,0.0013055517
timestep_1_feature_139,0.001302966
timestep_9_feature_72,0.0013029646
timestep_3_feature_23,0.0012953068
timestep_3_feature_80,0.0012905021
timestep_5_feature_64,0.0012899553
timestep_10_feature_25,0.0012859158
timestep_5_feature_146,0.0012847082
timestep_7_feature_42,0.0012779627
timestep_1_feature_86,0.0012775932
timestep_9_feature_136,0.001277108
timestep_3_feature_47,0.0012648052
timestep_3_feature_87,0.001261691
timestep_2_feature_47,0.0012531151
timestep_5_feature_100,0.0012530461
timestep_1_feature_87,0.0012490764
timestep_5_feature_116,0.0012464789
timestep_1_feature_124,0.0012455462
timestep_8_feature_143,0.0012425035
timestep_10_feature_104,0.0012422567
timestep_9_feature_13,0.0012422329
timestep_10_feature_40,0.00124186
timestep_3_feature_95,0.0012379794
timestep_7_feature_72,0.0012361337
timestep_6_feature_2,0.0012312455
timestep_4_feature_80,0.0012172667
timestep_7_feature_47,0.0012166555
timestep_7_feature_2,0.0012162236
timestep_3_feature_31,0.0012001466
timestep_2_feature_40,0.001193907
timestep_7_feature_48,0.0011931122
timestep_3_feature_39,0.001190539
timestep_10_feature_2,0.0011903775
timestep_10_feature_96,0.0011862552
timestep_1_feature_64,0.0011749844
timestep_1_feature_155,0.0011528792
timestep_10_feature_140,0.0011521325
timestep_9_feature_40,0.0011481625
timestep_9_feature_104,0.0011422944
timestep_7_feature_87,0.0011406387
timestep_7_feature_54,0.0011345127
timestep_1_feature_148,0.0011333643
timestep_10_feature_10,0.0011296078
timestep_5_feature_120,0.0011275805
timestep_5_feature_71,0.0011237842
timestep_8_feature_98,0.0011198247
timestep_10_feature_39,0.0011163581
timestep_8_feature_161,0.0011142723
timestep_9_feature_71,0.0011118073
timestep_3_feature_126,0.0010995382
timestep_6_feature_71,0.0010932847
timestep_6_feature_144,0.0010824656
timestep_8_feature_5,0.0010808223
timestep_5_feature_2,0.0010799024
timestep_8_feature_24,0.0010729617
timestep_9_feature_112,0.0010710034
timestep_5_feature_156,0.0010657765
timestep_2_feature_63,0.0010625866
timestep_2_feature_151,0.0010612844
timestep_5_feature_135,0.0010570702
timestep_2_feature_95,0.0010512902
timestep_4_feature_47,0.0010473389
timestep_10_feature_47,0.0010440347
timestep_5_feature_36,0.0010438934
timestep_5_feature_47,0.0010424339
timestep_6_feature_80,0.0010323166
timestep_1_feature_157,0.0010272107
timestep_10_feature_13,0.0010268876
timestep_7_feature_112,0.0010130333
timestep_4_feature_52,0.0010121606
timestep_5_feature_72,0.0010107439
timestep_2_feature_14,0.0010093242
timestep_2_feature_157,0.0010050887
timestep_10_feature_1,0.001003217
timestep_9_feature_126,0.0009974414
timestep_1_feature_39,0.0009954587
timestep_1_feature_56,0.0009927903
timestep_5_feature_48,0.0009869032
timestep_5_feature_73,0.0009846799
timestep_3_feature_12,0.0009846558
timestep_4_feature_54,0.00098076
timestep_9_feature_48,0.0009780112
timestep_4_feature_103,0.0009754988
timestep_3_feature_82,0.0009750587
timestep_1_feature_161,0.00097484863
timestep_6_feature_12,0.0009733352
timestep_2_feature_140,0.00097154983
timestep_3_feature_135,0.000962093
timestep_8_feature_128,0.0009420825
timestep_2_feature_52,0.0009390131
timestep_8_feature_156,0.00093360496
timestep_10_feature_4,0.0009274214
timestep_6_feature_1,0.0009270944
timestep_2_feature_71,0.0009217064
timestep_4_feature_64,0.0009173386
timestep_7_feature_148,0.0009168314
timestep_3_feature_58,0.0009162533
timestep_3_feature_143,0.00091062527
timestep_2_feature_84,0.0009088443
timestep_5_feature_91,0.00090791204
timestep_5_feature_122,0.0009078182
timestep_7_feature_10,0.0009047366
timestep_9_feature_96,0.0008998214
timestep_4_feature_153,0.0008898707
timestep_8_feature_100,0.00088508724
timestep_5_feature_53,0.0008795137
timestep_8_feature_124,0.00087723584
timestep_3_feature_115,0.0008743464
timestep_2_feature_12,0.0008715619
timestep_1_feature_69,0.0008712151
timestep_7_feature_80,0.00086985086
timestep_1_feature_12,0.00086874753
timestep_10_feature_128,0.0008672718
timestep_10_feature_125,0.00086223654
timestep_10_feature_84,0.0008595589
timestep_4_feature_40,0.00085080054
timestep_5_feature_15,0.00084268645
timestep_8_feature_152,0.0008405132
timestep_2_feature_45,0.0008404726
timestep_1_feature_96,0.0008394871
timestep_9_feature_114,0.0008391228
timestep_8_feature_87,0.00083895435
timestep_1_feature_140,0.00083770044
timestep_4_feature_98,0.00083614414
timestep_2_feature_48,0.00083414663
timestep_9_feature_128,0.0008322738
timestep_10_feature_157,0.0008308502
timestep_10_feature_137,0.0008303675
timestep_3_feature_40,0.00082855026
timestep_5_feature_111,0.0008157479
timestep_6_feature_112,0.00081526896
timestep_2_feature_110,0.0008073751
timestep_5_feature_40,0.0007904321
timestep_3_feature_157,0.0007894684
timestep_1_feature_112,0.00078930287
timestep_4_feature_124,0.00077374163
timestep_3_feature_97,0.0007719438
timestep_6_feature_128,0.0007711069
timestep_6_feature_88,0.0007653503
timestep_10_feature_32,0.0007630533
timestep_8_feature_39,0.0007582274
timestep_6_feature_87,0.00075737684
timestep_6_feature_106,0.00075506064
timestep_5_feature_124,0.0007543372
timestep_8_feature_72,0.0007505502
timestep_3_feature_145,0.0007482011
timestep_2_feature_111,0.00073822046
timestep_2_feature_64,0.00073519093
timestep_1_feature_152,0.00072706764
timestep_6_feature_72,0.00072568335
timestep_9_feature_15,0.00072413625
timestep_10_feature_34,0.0007215805
timestep_8_feature_108,0.0007189726
timestep_8_feature_9,0.0007135471
timestep_10_feature_35,0.00071099127
timestep_3_feature_4,0.0007081061
timestep_7_feature_128,0.0007058331
timestep_7_feature_7,0.0007055993
timestep_2_feature_56,0.0006994031
timestep_5_feature_136,0.0006986469
timestep_1_feature_123,0.0006950574
timestep_3_feature_71,0.0006905952
timestep_10_feature_73,0.0006896871
timestep_1_feature_159,0.0006830865
timestep_1_feature_71,0.00067716214
timestep_10_feature_63,0.00067678606
timestep_7_feature_88,0.0006716045
timestep_6_feature_152,0.0006705598
timestep_4_feature_157,0.0006681573
timestep_1_feature_91,0.0006641532
timestep_7_feature_32,0.00065985817
timestep_7_feature_159,0.00065958675
timestep_7_feature_40,0.00065650616
timestep_4_feature_72,0.0006543201
timestep_3_feature_32,0.0006487127
timestep_9_feature_63,0.00064573676
timestep_1_feature_66,0.0006455347
timestep_9_feature_16,0.0006449689
timestep_9_feature_144,0.00064424076
timestep_9_feature_64,0.0006416681
timestep_5_feature_103,0.00063676643
timestep_10_feature_152,0.0006365571
timestep_9_feature_88,0.0006357125
timestep_1_feature_126,0.0006323434
timestep_5_feature_34,0.00062453485
timestep_9_feature_54,0.00062452443
timestep_5_feature_55,0.0006234404
timestep_1_feature_151,0.00062286964
timestep_9_feature_57,0.00062252313
timestep_6_feature_161,0.0006223006
timestep_8_feature_130,0.00061937014
timestep_5_feature_102,0.00061669416
timestep_1_feature_128,0.00061662693
timestep_6_feature_5,0.0006154327
timestep_5_feature_84,0.00061143644
timestep_1_feature_144,0.00061009603
timestep_3_feature_124,0.0006099288
timestep_8_feature_99,0.0006092756
timestep_5_feature_128,0.00060821505
timestep_9_feature_66,0.0006021595
timestep_5_feature_88,0.0005936633
timestep_9_feature_80,0.0005898274
timestep_6_feature_97,0.0005895047
timestep_2_feature_126,0.0005886081
timestep_4_feature_32,0.00058741716
timestep_3_feature_161,0.00058735796
timestep_6_feature_16,0.00058491266
timestep_1_feature_5,0.0005840657
timestep_8_feature_126,0.00058080896
timestep_8_feature_67,0.00057985634
timestep_7_feature_126,0.00057898107
timestep_1_feature_110,0.0005738692
timestep_3_feature_128,0.0005725167
timestep_1_feature_55,0.0005718914
timestep_6_feature_132,0.00056178425
timestep_8_feature_81,0.0005551504
timestep_2_feature_160,0.0005535234
timestep_3_feature_110,0.00055258087
timestep_2_feature_39,0.00055133057
timestep_4_feature_2,0.0005457335
timestep_1_feature_54,0.0005452124
timestep_5_feature_130,0.0005443137
timestep_3_feature_159,0.0005420847
timestep_7_feature_161,0.00054091186
timestep_10_feature_56,0.0005407572
timestep_2_feature_9,0.00054043566
timestep_7_feature_64,0.0005383083
timestep_7_feature_94,0.0005353785
timestep_7_feature_69,0.00053066347
timestep_1_feature_78,0.0005304284
timestep_7_feature_71,0.0005296108
timestep_8_feature_151,0.0005288765
timestep_2_feature_106,0.0005286789
timestep_10_feature_41,0.00052265206
timestep_3_feature_10,0.00052253704
timestep_9_feature_121,0.00052086316
timestep_5_feature_159,0.0005190394
timestep_2_feature_112,0.0005179241
timestep_8_feature_131,0.0005140761
timestep_9_feature_140,0.0005135432
timestep_10_feature_138,0.0005128691
timestep_5_feature_80,0.0005061984
timestep_7_feature_133,0.0005039796
timestep_10_feature_7,0.0004990571
timestep_6_feature_96,0.0004929788
timestep_4_feature_15,0.00049250893
timestep_10_feature_21,0.00049218646
timestep_10_feature_113,0.0004895841
timestep_3_feature_56,0.000488161
timestep_2_feature_142,0.00048543583
timestep_8_feature_92,0.0004748686
timestep_4_feature_126,0.00047481182
timestep_1_feature_52,0.00047303777
timestep_9_feature_17,0.00047198145
timestep_6_feature_11,0.0004714928
timestep_2_feature_92,0.00046810473
timestep_6_feature_103,0.00046602625
timestep_7_feature_83,0.00046497973
timestep_10_feature_132,0.00046424364
timestep_10_feature_146,0.00046281732
timestep_3_feature_33,0.00046217284
timestep_10_feature_150,0.0004612009
timestep_8_feature_13,0.00046076067
timestep_2_feature_159,0.00045898542
timestep_9_feature_106,0.0004583494
timestep_5_feature_127,0.00045792907
timestep_10_feature_114,0.00045582108
timestep_6_feature_159,0.00045472392
timestep_3_feature_100,0.0004542498
timestep_4_feature_94,0.00045337842
timestep_2_feature_58,0.00045287996
timestep_3_feature_155,0.00045197966
timestep_3_feature_121,0.00045068306
timestep_9_feature_145,0.000449567
timestep_5_feature_6,0.00044877746
timestep_2_feature_13,0.0004478805
timestep_10_feature_109,0.00044610092
timestep_2_feature_24,0.00044607345
timestep_6_feature_143,0.00044558235
timestep_2_feature_136,0.0004449896
timestep_1_feature_94,0.0004449824
timestep_10_feature_29,0.00043890916
timestep_8_feature_63,0.0004382172
timestep_3_feature_63,0.0004379328
timestep_9_feature_42,0.00043374984
timestep_8_feature_77,0.00043174234
timestep_9_feature_151,0.00042839695
timestep_4_feature_134,0.00042818967
timestep_6_feature_137,0.00042766778
timestep_3_feature_60,0.0004273269
timestep_3_feature_24,0.00042516267
timestep_3_feature_92,0.00042154887
timestep_4_feature_111,0.0004187631
timestep_3_feature_74,0.00041333956
timestep_7_feature_108,0.00041184752
timestep_3_feature_13,0.00041110537
timestep_7_feature_145,0.00040916528
timestep_1_feature_2,0.0004087616
timestep_10_feature_124,0.00040707362
timestep_2_feature_161,0.0004064893
timestep_8_feature_159,0.0004046054
timestep_6_feature_40,0.00040451894
timestep_7_feature_63,0.00040259026
timestep_6_feature_32,0.00040255042
timestep_3_feature_14,0.0004023549
timestep_2_feature_124,0.0004021463
timestep_3_feature_144,0.00040018818
timestep_9_feature_161,0.00039968864
timestep_8_feature_132,0.00039512326
timestep_9_feature_102,0.0003946839
timestep_4_feature_27,0.00039224813
timestep_5_feature_56,0.00039051494
timestep_10_feature_161,0.0003869328
timestep_2_feature_103,0.00038571106
timestep_1_feature_113,0.0003823267
timestep_3_feature_111,0.00038078902
timestep_5_feature_62,0.0003762325
timestep_6_feature_108,0.00037416012
timestep_5_feature_94,0.00037164055
timestep_6_feature_51,0.00037070282
timestep_8_feature_112,0.00037053903
timestep_3_feature_112,0.00037039228
timestep_10_feature_67,0.00036951117
timestep_10_feature_61,0.00036872772
timestep_4_feature_56,0.0003657488
timestep_9_feature_90,0.00036465784
timestep_4_feature_41,0.00036425007
timestep_10_feature_126,0.0003641314
timestep_10_feature_79,0.00036294607
timestep_4_feature_57,0.00036146247
timestep_10_feature_143,0.000360689
timestep_10_feature_81,0.00036049876
timestep_6_feature_55,0.0003604036
timestep_2_feature_72,0.0003600343
timestep_7_feature_149,0.00035919846
timestep_7_feature_132,0.00035778127
timestep_3_feature_152,0.00035615743
timestep_5_feature_161,0.00035268298
timestep_7_feature_9,0.00035208988
timestep_8_feature_55,0.00035085462
timestep_2_feature_55,0.0003501925
timestep_7_feature_151,0.00035005537
timestep_1_feature_143,0.0003499281
timestep_5_feature_151,0.00034989932
timestep_5_feature_50,0.00034632214
timestep_10_feature_129,0.00034531273
timestep_4_feature_10,0.00034315154
timestep_7_feature_8,0.00033960698
timestep_9_feature_7,0.00033903387
timestep_5_feature_22,0.00033515922
timestep_8_feature_61,0.0003327973
timestep_2_feature_152,0.0003314563
timestep_3_feature_129,0.0003310577
timestep_3_feature_51,0.000329826
timestep_7_feature_111,0.00032925615
timestep_8_feature_129,0.0003278897
timestep_9_feature_20,0.00032716175
timestep_4_feature_25,0.00032347837
timestep_8_feature_149,0.00032053865
timestep_7_feature_130,0.0003202854
timestep_1_feature_153,0.00031639254
timestep_3_feature_2,0.00031555735
timestep_2_feature_78,0.0003138581
timestep_8_feature_120,0.000309071
timestep_5_feature_115,0.00030471975
timestep_8_feature_16,0.00030299553
timestep_3_feature_132,0.0003029685
timestep_3_feature_136,0.00030182305
timestep_6_feature_124,0.00029893802
timestep_6_feature_136,0.00029569352
timestep_8_feature_118,0.00029446578
timestep_6_feature_28,0.00029387526
timestep_7_feature_105,0.0002900802
timestep_1_feature_149,0.0002876066
timestep_6_feature_104,0.0002847588
timestep_4_feature_149,0.00028378793
timestep_9_feature_5,0.0002786001
timestep_1_feature_117,0.00027801126
timestep_2_feature_149,0.0002764604
timestep_1_feature_72,0.00027571
timestep_9_feature_10,0.00027285187
timestep_8_feature_64,0.00027155445
timestep_1_feature_133,0.0002656532
timestep_5_feature_67,0.00026564058
timestep_4_feature_161,0.00026563284
timestep_8_feature_3,0.0002649395
timestep_2_feature_16,0.00026175432
timestep_5_feature_7,0.0002602526
timestep_5_feature_132,0.00025847793
timestep_7_feature_26,0.00025517546
timestep_8_feature_58,0.00025471952
timestep_3_feature_122,0.00025417714
timestep_5_feature_141,0.00025367425
timestep_1_feature_100,0.0002535021
timestep_7_feature_115,0.00025178987
timestep_3_feature_55,0.00024739522
timestep_7_feature_104,0.00024698972
timestep_5_feature_60,0.0002469676
timestep_6_feature_95,0.00024465495
timestep_8_feature_103,0.00024386108
timestep_3_feature_148,0.000242985
timestep_7_feature_1,0.00024238267
timestep_8_feature_52,0.00024166981
timestep_7_feature_136,0.00024153935
timestep_1_feature_40,0.0002366896
timestep_6_feature_151,0.00023632155
timestep_4_feature_95,0.00023449471
timestep_2_feature_94,0.00023027604
timestep_8_feature_12,0.00022052882
timestep_8_feature_6,0.00022009942
timestep_3_feature_41,0.0002194342
timestep_9_feature_67,0.00021844068
timestep_2_feature_8,0.00021789776
timestep_1_feature_108,0.00021707709
timestep_6_feature_83,0.00021500922
timestep_4_feature_78,0.00021419725
timestep_4_feature_127,0.00021284525
timestep_5_feature_78,0.00020958413
timestep_5_feature_98,0.00020953924
timestep_3_feature_64,0.00020871802
timestep_6_feature_61,0.00020541399
timestep_8_feature_32,0.00020452033
timestep_1_feature_50,0.00020106128
timestep_6_feature_56,0.00019996343
timestep_8_feature_134,0.00019983556
timestep_4_feature_136,0.00019970197
timestep_7_feature_3,0.00019683108
timestep_8_feature_8,0.00019661724
timestep_8_feature_1,0.00019421669
timestep_9_feature_8,0.00019179322
timestep_10_feature_77,0.00018967947
timestep_1_feature_105,0.00018865278
timestep_8_feature_41,0.00018757206
timestep_9_feature_160,0.000182505
timestep_3_feature_16,0.00018198954
timestep_1_feature_104,0.0001809269
timestep_2_feature_132,0.00017961294
timestep_9_feature_98,0.00017791375
timestep_9_feature_22,0.00017704777
timestep_1_feature_6,0.00017596842
timestep_2_feature_70,0.00017527392
timestep_6_feature_9,0.00017325848
timestep_8_feature_110,0.00017140397
timestep_1_feature_51,0.00017123536
timestep_5_feature_12,0.00016967271
timestep_4_feature_51,0.00016833942
timestep_7_feature_12,0.00016568466
timestep_1_feature_17,0.00016551866
timestep_6_feature_41,0.00016033727
timestep_9_feature_50,0.00015873689
timestep_5_feature_108,0.00015838066
timestep_5_feature_126,0.00015730964
timestep_4_feature_116,0.00015328312
timestep_4_feature_104,0.00014701491
timestep_4_feature_73,0.00014588442
timestep_1_feature_76,0.00014430098
timestep_1_feature_132,0.00014266644
timestep_2_feature_75,0.00014011886
timestep_3_feature_134,0.00013842365
timestep_8_feature_85,0.00013672422
timestep_3_feature_106,0.0001357778
timestep_4_feature_62,0.00013556513
timestep_5_feature_152,0.00013550595
timestep_4_feature_44,0.00013470594
timestep_10_feature_153,0.00013377934
timestep_9_feature_19,0.00013199761
timestep_3_feature_17,0.00012803181
timestep_9_feature_130,0.00012512386
timestep_9_feature_153,0.00012457276
timestep_10_feature_66,0.00012429692
timestep_4_feature_142,0.00011883971
timestep_9_feature_60,0.000113943985
timestep_1_feature_10,0.000111703404
timestep_2_feature_137,0.00010927065
timestep_3_feature_1,0.00010533066
timestep_10_feature_80,0.00010258383
timestep_3_feature_102,0.00010118305
timestep_9_feature_44,0.000100328325
timestep_3_feature_94,9.838151e-05
timestep_5_feature_10,9.7974735e-05
timestep_5_feature_90,9.3858594e-05
timestep_5_feature_150,8.975049e-05
timestep_7_feature_56,8.8917535e-05
timestep_6_feature_37,7.459782e-05
timestep_10_feature_145,7.067411e-05
timestep_6_feature_122,6.883891e-05
timestep_3_feature_117,6.506281e-05
timestep_1_feature_53,5.6740966e-05
timestep_2_feature_25,5.2099487e-05
timestep_5_feature_43,4.4214277e-05
timestep_4_feature_154,3.625166e-05
timestep_1_feature_150,3.5883833e-05
timestep_6_feature_73,3.257038e-05
timestep_8_feature_21,2.7134509e-05
timestep_1_feature_118,1.5501364e-05
timestep_9_feature_61,1.676118e-06
timestep_4_feature_125,0.0
timestep_4_feature_129,0.0
timestep_4_feature_130,0.0
timestep_4_feature_131,0.0
timestep_4_feature_132,0.0
timestep_4_feature_133,0.0
timestep_4_feature_137,0.0
timestep_4_feature_113,0.0
timestep_2_feature_133,0.0
timestep_2_feature_134,0.0
timestep_5_feature_33,0.0
timestep_5_feature_35,0.0
timestep_5_feature_37,0.0
timestep_2_feature_102,0.0
timestep_5_feature_49,0.0
timestep_5_feature_51,0.0
timestep_5_feature_52,0.0
timestep_5_feature_54,0.0
timestep_5_feature_57,0.0
timestep_5_feature_58,0.0
timestep_5_feature_59,0.0
timestep_5_feature_61,0.0
timestep_5_feature_63,0.0
timestep_5_feature_65,0.0
timestep_5_feature_27,0.0
timestep_5_feature_28,0.0
timestep_5_feature_29,0.0
timestep_5_feature_30,0.0
timestep_5_feature_82,0.0
timestep_5_feature_83,0.0
timestep_5_feature_85,0.0
timestep_5_feature_66,0.0
timestep_5_feature_68,0.0
timestep_5_feature_69,0.0
timestep_5_feature_70,0.0
timestep_5_feature_74,0.0
timestep_5_feature_75,0.0
timestep_5_feature_76,0.0
timestep_5_feature_77,0.0
timestep_5_feature_79,0.0
timestep_2_feature_100,0.0
timestep_2_feature_101,0.0
timestep_1_feature_7,0.0
timestep_5_feature_93,0.0
