Model,Threshold,Accuracy,Precision,Recall,F1,TN,FP,FN,TP,Attack_Predictions
Enhanced XGBoost,0.24000000000000002,0.6782273603082851,0.9444444444444444,0.09289617486338798,0.1691542288557214,335,1,166,17,18
Enhanced XGBoost,0.25,0.6782273603082851,0.9444444444444444,0.09289617486338798,0.1691542288557214,335,1,166,17,18
Enhanced XGBoost,0.26,0.674373795761079,0.9375,0.08196721311475409,0.1507537688442211,335,1,168,15,16
Enhanced XGBoost,0.27,0.674373795761079,0.9375,0.08196721311475409,0.1507537688442211,335,1,168,15,16
Enhanced XGBoost,0.28,0.674373795761079,0.9375,0.08196721311475409,0.1507537688442211,335,1,168,15,16
Enhanced XGBoost,0.29000000000000004,0.6724470134874759,0.9333333333333333,0.07650273224043716,0.1414141414141414,335,1,169,14,15
Enhanced XGBoost,0.3,0.6724470134874759,0.9333333333333333,0.07650273224043716,0.1414141414141414,335,1,169,14,15
Enhanced XGBoost,0.31,0.6724470134874759,0.9333333333333333,0.07650273224043716,0.1414141414141414,335,1,169,14,15
Enhanced XGBoost,0.32,0.6685934489402697,0.9230769230769231,0.06557377049180328,0.12244897959183673,335,1,171,12,13
Enhanced XGBoost,0.33,0.6685934489402697,0.9230769230769231,0.06557377049180328,0.12244897959183673,335,1,171,12,13
Enhanced XGBoost,0.34,0.6666666666666666,0.9166666666666666,0.060109289617486336,0.11282051282051282,335,1,172,11,12
Enhanced XGBoost,0.35000000000000003,0.6666666666666666,0.9166666666666666,0.060109289617486336,0.11282051282051282,335,1,172,11,12
Enhanced XGBoost,0.36000000000000004,0.6666666666666666,0.9166666666666666,0.060109289617486336,0.11282051282051282,335,1,172,11,12
Enhanced XGBoost,0.37,0.6647398843930635,0.9090909090909091,0.0546448087431694,0.10309278350515463,335,1,173,10,11
Enhanced XGBoost,0.38,0.6647398843930635,0.9090909090909091,0.0546448087431694,0.10309278350515463,335,1,173,10,11
Enhanced XGBoost,0.39,0.6647398843930635,0.9090909090909091,0.0546448087431694,0.10309278350515463,335,1,173,10,11
