Model,Curve,X,Y,Threshold
Original XGBoost,ROC,0.8053097345132744,0.8961748633879781,0.023059517
Original XGBoost,ROC,0.8053097345132744,0.9016393442622951,0.02299753
Original XGBoost,ROC,0.8141592920353983,0.9016393442622951,0.022146063
Original XGBoost,ROC,0.8141592920353983,0.912568306010929,0.022010883
Original XGBoost,ROC,0.8259587020648967,0.912568306010929,0.021362342
Original XGBoost,ROC,0.8259587020648967,0.9234972677595629,0.021265646
Original XGBoost,ROC,0.8377581120943953,0.9234972677595629,0.020359712
Original XGBoost,ROC,0.8377581120943953,0.9289617486338798,0.020249426
Original XGBoost,ROC,0.8672566371681416,0.9289617486338798,0.01945461
Original XGBoost,ROC,0.8672566371681416,0.9344262295081968,0.019379333
Original XGBoost,ROC,0.8761061946902655,0.9344262295081968,0.018862393
Original XGBoost,ROC,0.8761061946902655,0.9398907103825137,0.018591035
Original XGBoost,ROC,0.9144542772861357,0.9398907103825137,0.017050894
Original XGBoost,ROC,0.9144542772861357,0.9453551912568307,0.01699975
Original XGBoost,ROC,0.9203539823008849,0.9453551912568307,0.016883787
Original XGBoost,ROC,0.9203539823008849,0.9508196721311475,0.016838219
Original XGBoost,ROC,0.9292035398230089,0.9508196721311475,0.016511854
Original XGBoost,ROC,0.9292035398230089,0.9562841530054644,0.016359745
Original XGBoost,ROC,0.9380530973451328,0.9562841530054644,0.016034639
Original XGBoost,ROC,0.9380530973451328,0.9617486338797814,0.015883217
Original XGBoost,ROC,0.943952802359882,0.9617486338797814,0.015694322
Original XGBoost,ROC,0.943952802359882,0.9672131147540983,0.01567582
Original XGBoost,ROC,0.9823008849557522,0.9672131147540983,0.013024064
Original XGBoost,ROC,0.9823008849557522,0.9781420765027322,0.012806998
Original XGBoost,ROC,0.9852507374631269,0.9781420765027322,0.012624456
Original XGBoost,ROC,0.9852507374631269,0.9836065573770492,0.0117131295
Original XGBoost,ROC,0.9911504424778761,0.9836065573770492,0.010018639
Original XGBoost,ROC,0.9911504424778761,0.9890710382513661,0.009802534
Original XGBoost,ROC,0.9941002949852508,0.9890710382513661,0.009728237
